Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Resolution Speed
Germany,2017,Malware,Government,67.79,239402,Hacker Group,Zero-day,VPN,17.0,0.00028316388334266216,Fast (<24h)
Russia,2024,DDoS,Education,54.4,891298,Insider,Social Engineering,AI-based Detection,60.0,6.103458102677219e-05,Medium (24-72h)
Australia,2024,Man-in-the-Middle,Education,86.52,915463,Insider,Weak Passwords,Antivirus,2.0,9.4509554181873e-05,Fast (<24h)
India,2018,Malware,Education,99.09,395264,Unknown,Weak Passwords,Antivirus,5.0,0.0002506932075777202,Fast (<24h)
China,2015,Man-in-the-Middle,Healthcare,66.13,946668,Hacker Group,Unpatched Software,Encryption,67.0,6.985553541473885e-05,Medium (24-72h)
USA,2023,Malware,IT,52.54,201017,Insider,Unpatched Software,Encryption,17.0,0.00026137092882691515,Fast (<24h)
Germany,2022,SQL Injection,IT,48.0,876383,Insider,Zero-day,Encryption,72.0,5.4770574052668755e-05,Medium (24-72h)
Australia,2022,Ransomware,Government,10.84,564944,Insider,Social Engineering,Antivirus,58.0,1.9187742501911695e-05,Medium (24-72h)
Russia,2023,Malware,IT,6.35,259573,Nation-state,Zero-day,Firewall,68.0,2.4463253111841368e-05,Medium (24-72h)
Japan,2020,DDoS,Education,99.83,10859,Nation-state,Social Engineering,AI-based Detection,66.0,0.009193295883598858,Medium (24-72h)
Russia,2020,DDoS,Government,41.45,496378,Insider,Unpatched Software,AI-based Detection,42.0,8.350490956488805e-05,Medium (24-72h)
UK,2019,Man-in-the-Middle,Education,29.92,937987,Hacker Group,Weak Passwords,VPN,45.0,3.189809666871716e-05,Medium (24-72h)
India,2023,Ransomware,Education,9.32,182887,Hacker Group,Unpatched Software,Firewall,51.0,5.096042911743317e-05,Medium (24-72h)
France,2017,Man-in-the-Middle,Healthcare,34.43,927694,Insider,Social Engineering,VPN,43.0,3.7113530970341515e-05,Medium (24-72h)
Brazil,2021,Man-in-the-Middle,Banking,81.68,893986,Insider,Unpatched Software,Firewall,47.0,9.136608403263586e-05,Medium (24-72h)
USA,2018,Phishing,Retail,36.85,852789,Hacker Group,Social Engineering,VPN,4.0,4.321115774241929e-05,Fast (<24h)
Brazil,2024,Man-in-the-Middle,Healthcare,26.92,695427,Nation-state,Zero-day,Encryption,28.0,3.8710029952820355e-05,Medium (24-72h)
India,2019,DDoS,Banking,35.31,961173,Insider,Social Engineering,VPN,37.0,3.673636275675659e-05,Medium (24-72h)
China,2018,Man-in-the-Middle,Healthcare,11.74,430760,Nation-state,Unpatched Software,Firewall,63.0,2.7254155446188135e-05,Medium (24-72h)
Germany,2016,Ransomware,Telecommunications,93.93,198764,Insider,Zero-day,Encryption,40.0,0.0004725704856010143,Medium (24-72h)
Brazil,2021,Malware,Banking,34.68,786462,Unknown,Weak Passwords,Firewall,17.0,4.4096218253393046e-05,Fast (<24h)
India,2020,Malware,IT,84.43,999542,Hacker Group,Social Engineering,Encryption,15.0,8.44686866584896e-05,Fast (<24h)
Australia,2022,Malware,Government,24.6,221315,Nation-state,Unpatched Software,VPN,53.0,0.00011115378532860404,Medium (24-72h)
Brazil,2018,SQL Injection,Education,52.7,861075,Hacker Group,Social Engineering,Encryption,7.0,6.120256655924281e-05,Fast (<24h)
Japan,2022,Phishing,Telecommunications,33.54,55209,Nation-state,Unpatched Software,VPN,11.0,0.0006075096451665489,Fast (<24h)
India,2018,Phishing,Education,43.54,76479,Insider,Zero-day,Firewall,4.0,0.0005693066070424561,Fast (<24h)
Japan,2016,SQL Injection,Telecommunications,37.17,728731,Unknown,Weak Passwords,VPN,72.0,5.100647564053128e-05,Medium (24-72h)
Japan,2017,SQL Injection,Education,36.37,161579,Nation-state,Zero-day,Firewall,15.0,0.00022509113189213943,Fast (<24h)
Germany,2019,SQL Injection,Government,56.53,362642,Unknown,Social Engineering,Encryption,19.0,0.0001558837641530766,Fast (<24h)
Brazil,2017,DDoS,Education,29.76,913276,Insider,Social Engineering,Encryption,57.0,3.25859871495583e-05,Medium (24-72h)
Brazil,2019,Phishing,Government,70.6,817268,Nation-state,Zero-day,VPN,1.0,8.638537175075984e-05,Fast (<24h)
UK,2021,SQL Injection,IT,80.05,682480,Hacker Group,Zero-day,AI-based Detection,14.0,0.00011729281444144883,Fast (<24h)
USA,2024,DDoS,Telecommunications,15.53,298385,Hacker Group,Unpatched Software,AI-based Detection,11.0,5.204685222112371e-05,Fast (<24h)
China,2020,DDoS,Healthcare,6.32,682445,Nation-state,Social Engineering,Firewall,20.0,9.26081955322407e-06,Fast (<24h)
India,2021,SQL Injection,Government,18.26,78277,Hacker Group,Weak Passwords,Firewall,51.0,0.00023327414182965623,Medium (24-72h)
India,2023,Man-in-the-Middle,IT,90.85,985267,Hacker Group,Unpatched Software,Firewall,48.0,9.220850794759186e-05,Medium (24-72h)
Japan,2016,Man-in-the-Middle,Healthcare,2.59,603982,Hacker Group,Social Engineering,Firewall,18.0,4.288207264454901e-06,Fast (<24h)
Japan,2021,DDoS,Banking,74.26,81354,Insider,Weak Passwords,Firewall,6.0,0.0009128008456867518,Fast (<24h)
France,2021,Phishing,Education,78.99,542754,Insider,Zero-day,VPN,42.0,0.00014553554649067533,Medium (24-72h)
Australia,2020,Phishing,Education,85.79,905386,Hacker Group,Zero-day,Firewall,17.0,9.475516520025713e-05,Fast (<24h)
UK,2021,Phishing,Banking,88.38,281387,Hacker Group,Social Engineering,Firewall,55.0,0.00031408700473014033,Medium (24-72h)
France,2015,Malware,Banking,30.15,205850,Insider,Unpatched Software,Firewall,72.0,0.00014646587320864707,Medium (24-72h)
Germany,2024,Malware,Telecommunications,70.44,998028,Hacker Group,Unpatched Software,Encryption,59.0,7.057918214719426e-05,Medium (24-72h)
China,2015,Malware,IT,20.63,780527,Hacker Group,Zero-day,Antivirus,68.0,2.6430860175240575e-05,Medium (24-72h)
USA,2020,Ransomware,Telecommunications,56.37,667436,Insider,Social Engineering,AI-based Detection,11.0,8.445753600345201e-05,Fast (<24h)
Japan,2022,Ransomware,Retail,71.26,440529,Insider,Weak Passwords,Encryption,20.0,0.00016176006573914546,Fast (<24h)
China,2023,Man-in-the-Middle,Banking,3.47,194670,Nation-state,Social Engineering,Firewall,29.0,1.782503724251297e-05,Medium (24-72h)
USA,2023,DDoS,Banking,53.59,750875,Nation-state,Weak Passwords,Encryption,30.0,7.137006825370402e-05,Medium (24-72h)
China,2020,Phishing,Retail,75.95,970373,Unknown,Social Engineering,AI-based Detection,58.0,7.826887186679762e-05,Medium (24-72h)
France,2024,Phishing,Retail,44.98,827399,Nation-state,Weak Passwords,AI-based Detection,25.0,5.436313072652976e-05,Medium (24-72h)
UK,2018,Man-in-the-Middle,Education,81.01,416149,Insider,Unpatched Software,Antivirus,56.0,0.00019466585285558778,Medium (24-72h)
Germany,2015,Ransomware,IT,51.11,506625,Insider,Weak Passwords,VPN,41.0,0.00010088329632371082,Medium (24-72h)
USA,2018,Phishing,Government,38.83,333027,Hacker Group,Zero-day,VPN,19.0,0.00011659715278340795,Fast (<24h)
USA,2021,SQL Injection,Telecommunications,89.93,982269,Insider,Unpatched Software,Antivirus,51.0,9.155333213203308e-05,Medium (24-72h)
Brazil,2024,Malware,Government,78.97,724903,Unknown,Weak Passwords,Encryption,53.0,0.00010893871317955643,Medium (24-72h)
Russia,2024,DDoS,Education,26.82,156823,Hacker Group,Social Engineering,VPN,1.0,0.00017102083240341022,Fast (<24h)
China,2017,DDoS,Education,56.73,244753,Insider,Zero-day,VPN,45.0,0.00023178469722536597,Medium (24-72h)
Russia,2022,Malware,Retail,71.15,258554,Unknown,Social Engineering,AI-based Detection,72.0,0.00027518429418999516,Medium (24-72h)
Australia,2020,Ransomware,Telecommunications,97.9,139407,Insider,Unpatched Software,Antivirus,41.0,0.0007022602882208211,Medium (24-72h)
France,2023,Phishing,Education,5.8,206203,Hacker Group,Social Engineering,Encryption,7.0,2.8127621809576e-05,Fast (<24h)
UK,2016,SQL Injection,Government,69.55,55635,Unknown,Weak Passwords,Encryption,13.0,0.0012501123393547228,Fast (<24h)
Germany,2021,Ransomware,Education,11.42,55683,Hacker Group,Unpatched Software,AI-based Detection,19.0,0.00020508952463049764,Fast (<24h)
India,2023,Phishing,Banking,87.62,210006,Nation-state,Social Engineering,VPN,27.0,0.0004172261744902527,Medium (24-72h)
Russia,2015,Man-in-the-Middle,Education,98.58,816455,Unknown,Unpatched Software,AI-based Detection,40.0,0.00012074149830670398,Medium (24-72h)
UK,2020,SQL Injection,IT,87.48,53147,Nation-state,Social Engineering,Antivirus,9.0,0.0016460007149980244,Fast (<24h)
UK,2018,SQL Injection,Telecommunications,80.96,583514,Hacker Group,Zero-day,VPN,54.0,0.0001387455999341918,Medium (24-72h)
UK,2022,Ransomware,Government,85.43,688150,Unknown,Weak Passwords,Firewall,58.0,0.00012414444525176197,Medium (24-72h)
Japan,2023,Phishing,Government,3.54,809443,Insider,Weak Passwords,VPN,59.0,4.373377742472292e-06,Medium (24-72h)
Japan,2024,Malware,Government,34.03,78149,Nation-state,Weak Passwords,Encryption,30.0,0.00043545022968943944,Medium (24-72h)
Australia,2018,DDoS,Banking,64.29,113775,Insider,Weak Passwords,AI-based Detection,14.0,0.000565062623599209,Fast (<24h)
India,2021,Ransomware,Banking,54.97,798498,Nation-state,Zero-day,VPN,54.0,6.884175038635037e-05,Medium (24-72h)
Brazil,2016,Phishing,Education,97.45,267789,Insider,Weak Passwords,Encryption,26.0,0.000363905910997091,Medium (24-72h)
UK,2023,SQL Injection,Telecommunications,30.19,833840,Insider,Unpatched Software,Antivirus,6.0,3.6205986760049894e-05,Fast (<24h)
USA,2018,DDoS,Banking,6.61,646433,Insider,Social Engineering,Firewall,37.0,1.02253443125583e-05,Medium (24-72h)
Brazil,2017,Man-in-the-Middle,Government,68.03,403770,Hacker Group,Weak Passwords,Encryption,22.0,0.0001684870099313966,Fast (<24h)
Germany,2018,SQL Injection,Retail,75.63,814701,Hacker Group,Social Engineering,Antivirus,63.0,9.283160325076316e-05,Medium (24-72h)
China,2019,Ransomware,IT,72.29,666683,Hacker Group,Zero-day,Encryption,34.0,0.00010843234340758653,Medium (24-72h)
Germany,2016,DDoS,Banking,44.17,236438,Hacker Group,Weak Passwords,Antivirus,24.0,0.00018681430226951675,Fast (<24h)
Russia,2020,DDoS,Education,60.94,798113,Insider,Social Engineering,Antivirus,23.0,7.635510259825363e-05,Fast (<24h)
Germany,2021,Malware,Healthcare,23.34,518982,Hacker Group,Weak Passwords,VPN,20.0,4.4972658011260506e-05,Fast (<24h)
Germany,2015,DDoS,IT,76.99,252225,Unknown,Unpatched Software,Antivirus,67.0,0.00030524333432451183,Medium (24-72h)
USA,2017,SQL Injection,Government,60.66,5346,Unknown,Zero-day,Antivirus,69.0,0.011346801346801346,Medium (24-72h)
China,2017,DDoS,Retail,19.36,4814,Unknown,Social Engineering,AI-based Detection,42.0,0.004021603656003323,Medium (24-72h)
Brazil,2021,SQL Injection,Banking,50.61,772512,Hacker Group,Weak Passwords,Encryption,42.0,6.551354542065366e-05,Medium (24-72h)
Australia,2023,Phishing,Education,81.81,16360,Nation-state,Unpatched Software,AI-based Detection,37.0,0.005000611246943765,Medium (24-72h)
India,2024,Phishing,Telecommunications,38.68,224143,Nation-state,Social Engineering,Antivirus,60.0,0.00017256840499145634,Medium (24-72h)
Russia,2023,SQL Injection,IT,52.35,743325,Insider,Weak Passwords,VPN,9.0,7.042679850670972e-05,Fast (<24h)
France,2019,Phishing,Education,81.47,597542,Unknown,Weak Passwords,VPN,11.0,0.00013634188057073813,Fast (<24h)
Russia,2024,Malware,Education,55.15,913591,Hacker Group,Zero-day,AI-based Detection,51.0,6.0366181365622035e-05,Medium (24-72h)
Japan,2023,SQL Injection,IT,8.24,183702,Nation-state,Zero-day,VPN,57.0,4.4855254705991226e-05,Medium (24-72h)
China,2024,Ransomware,Healthcare,42.26,685837,Insider,Social Engineering,VPN,68.0,6.161813958710306e-05,Medium (24-72h)
India,2015,Phishing,Healthcare,28.6,690500,Hacker Group,Weak Passwords,Encryption,11.0,4.141926140477915e-05,Fast (<24h)
India,2016,SQL Injection,Banking,4.31,520308,Insider,Zero-day,VPN,39.0,8.283555125041321e-06,Medium (24-72h)
India,2020,Phishing,Education,17.43,84643,Nation-state,Unpatched Software,Antivirus,53.0,0.00020592370308235766,Medium (24-72h)
France,2023,Malware,Healthcare,85.28,762282,Hacker Group,Social Engineering,Firewall,11.0,0.00011187460808467207,Fast (<24h)
France,2022,Malware,Education,70.46,427144,Unknown,Social Engineering,Firewall,42.0,0.0001649560803850692,Medium (24-72h)
Russia,2018,Man-in-the-Middle,Banking,86.87,800683,Nation-state,Unpatched Software,Firewall,57.0,0.00010849487250260091,Medium (24-72h)
Japan,2024,Man-in-the-Middle,Education,46.39,662101,Insider,Social Engineering,VPN,7.0,7.006483905023554e-05,Fast (<24h)
Australia,2016,Malware,IT,30.72,977343,Hacker Group,Weak Passwords,VPN,47.0,3.1432158413167126e-05,Medium (24-72h)
India,2021,Ransomware,Education,86.73,534013,Unknown,Unpatched Software,Firewall,49.0,0.0001624117764923326,Medium (24-72h)
China,2024,SQL Injection,Education,18.45,947933,Insider,Social Engineering,Antivirus,10.0,1.9463400894367006e-05,Fast (<24h)
Australia,2017,Malware,Retail,9.25,692167,Unknown,Weak Passwords,Encryption,70.0,1.3363826937718787e-05,Medium (24-72h)
Japan,2023,Malware,IT,23.16,320277,Unknown,Weak Passwords,Encryption,69.0,7.231240457478995e-05,Medium (24-72h)
Japan,2017,Ransomware,Retail,49.75,163062,Unknown,Unpatched Software,AI-based Detection,43.0,0.00030509867412395285,Medium (24-72h)
Australia,2017,Malware,Banking,25.76,801821,Unknown,Weak Passwords,AI-based Detection,18.0,3.2126871209409584e-05,Fast (<24h)
China,2016,Ransomware,Government,72.25,860664,Unknown,Zero-day,Firewall,10.0,8.394681315821273e-05,Fast (<24h)
Japan,2018,Man-in-the-Middle,Education,20.85,511823,Insider,Zero-day,AI-based Detection,43.0,4.073673906799812e-05,Medium (24-72h)
Germany,2024,Man-in-the-Middle,IT,93.13,952299,Unknown,Weak Passwords,VPN,33.0,9.779491525245747e-05,Medium (24-72h)
India,2018,Phishing,Education,5.27,982450,Unknown,Weak Passwords,Firewall,32.0,5.364140668736322e-06,Medium (24-72h)
Australia,2024,DDoS,Retail,28.16,411083,Unknown,Weak Passwords,Firewall,30.0,6.850198135169783e-05,Medium (24-72h)
USA,2019,Man-in-the-Middle,Government,17.59,43140,Insider,Social Engineering,AI-based Detection,28.0,0.00040774223458507185,Medium (24-72h)
UK,2018,Malware,Education,51.59,935465,Nation-state,Weak Passwords,AI-based Detection,28.0,5.514904352380902e-05,Medium (24-72h)
Germany,2018,DDoS,Banking,81.34,52799,Insider,Zero-day,AI-based Detection,38.0,0.0015405594802931875,Medium (24-72h)
China,2020,SQL Injection,Telecommunications,70.02,688312,Nation-state,Unpatched Software,VPN,48.0,0.00010172712374620812,Medium (24-72h)
France,2024,Phishing,Government,5.18,219162,Hacker Group,Unpatched Software,Encryption,23.0,2.3635484253657112e-05,Fast (<24h)
UK,2017,Man-in-the-Middle,Telecommunications,60.01,740448,Hacker Group,Weak Passwords,Encryption,26.0,8.104552919313713e-05,Medium (24-72h)
France,2016,Ransomware,Banking,62.73,596776,Nation-state,Zero-day,Firewall,17.0,0.00010511481694974328,Fast (<24h)
Australia,2022,SQL Injection,Telecommunications,56.2,571454,Insider,Weak Passwords,VPN,42.0,9.834562361974892e-05,Medium (24-72h)
Russia,2020,DDoS,Government,72.59,787260,Insider,Weak Passwords,Firewall,15.0,9.220587861697533e-05,Fast (<24h)
UK,2018,Malware,Healthcare,19.79,805745,Insider,Weak Passwords,Firewall,7.0,2.4561120453741566e-05,Fast (<24h)
Russia,2020,SQL Injection,Telecommunications,35.02,377194,Unknown,Weak Passwords,Firewall,50.0,9.284347046877734e-05,Medium (24-72h)
China,2023,Malware,Education,37.07,417554,Insider,Unpatched Software,Antivirus,35.0,8.877893637709135e-05,Medium (24-72h)
China,2019,SQL Injection,Government,65.85,252025,Hacker Group,Zero-day,Encryption,60.0,0.0002612836028171808,Medium (24-72h)
India,2015,Ransomware,Education,96.03,898251,Hacker Group,Weak Passwords,Antivirus,70.0,0.00010690775740856398,Medium (24-72h)
Brazil,2015,Man-in-the-Middle,Banking,74.27,551388,Unknown,Unpatched Software,Encryption,51.0,0.00013469643880534215,Medium (24-72h)
India,2017,DDoS,Banking,45.98,538245,Hacker Group,Weak Passwords,AI-based Detection,18.0,8.542578193945136e-05,Fast (<24h)
India,2021,Malware,Telecommunications,50.97,838461,Nation-state,Zero-day,AI-based Detection,6.0,6.078994729629643e-05,Fast (<24h)
Brazil,2020,SQL Injection,Banking,68.05,912770,Unknown,Zero-day,AI-based Detection,67.0,7.455328286424838e-05,Medium (24-72h)
India,2021,DDoS,Education,95.95,62194,Nation-state,Zero-day,AI-based Detection,12.0,0.0015427533202559732,Fast (<24h)
UK,2023,Man-in-the-Middle,Banking,15.01,416522,Insider,Social Engineering,VPN,63.0,3.6036511876923666e-05,Medium (24-72h)
UK,2021,DDoS,IT,70.49,530341,Insider,Social Engineering,VPN,40.0,0.00013291448332299408,Medium (24-72h)
Japan,2022,Ransomware,IT,73.1,346939,Insider,Weak Passwords,VPN,21.0,0.00021069986366479407,Fast (<24h)
Russia,2021,Phishing,Banking,78.45,56333,Unknown,Social Engineering,VPN,8.0,0.0013926117906023112,Fast (<24h)
Germany,2018,Ransomware,IT,27.51,644913,Unknown,Weak Passwords,VPN,32.0,4.265691651432054e-05,Medium (24-72h)
Japan,2017,SQL Injection,Banking,18.01,295917,Unknown,Weak Passwords,VPN,57.0,6.086166053319005e-05,Medium (24-72h)
India,2020,Malware,Healthcare,20.62,54206,Insider,Unpatched Software,VPN,51.0,0.00038040069365014945,Medium (24-72h)
India,2018,DDoS,Telecommunications,47.5,423071,Unknown,Unpatched Software,Antivirus,69.0,0.00011227429911291486,Medium (24-72h)
Australia,2021,Man-in-the-Middle,Healthcare,17.62,687020,Unknown,Weak Passwords,Antivirus,48.0,2.5646997176210302e-05,Medium (24-72h)
USA,2020,Ransomware,Education,77.09,550317,Insider,Weak Passwords,Encryption,63.0,0.00014008289767533986,Medium (24-72h)
Germany,2021,Phishing,Banking,48.0,170032,Nation-state,Social Engineering,Encryption,24.0,0.00028229980239013834,Fast (<24h)
China,2020,SQL Injection,Healthcare,11.55,388591,Unknown,Zero-day,Antivirus,68.0,2.972276764001225e-05,Medium (24-72h)
India,2023,DDoS,Healthcare,2.27,438318,Hacker Group,Unpatched Software,AI-based Detection,39.0,5.17888838697019e-06,Medium (24-72h)
India,2018,DDoS,Education,1.71,63389,Insider,Unpatched Software,VPN,20.0,2.69762892615438e-05,Fast (<24h)
USA,2015,Man-in-the-Middle,Retail,95.66,377602,Nation-state,Zero-day,Firewall,15.0,0.00025333552258727444,Fast (<24h)
France,2021,SQL Injection,Government,42.75,467551,Unknown,Unpatched Software,Encryption,61.0,9.143387566276192e-05,Medium (24-72h)
UK,2022,Malware,Telecommunications,38.76,361529,Nation-state,Social Engineering,Firewall,67.0,0.00010721131638125849,Medium (24-72h)
Australia,2019,Man-in-the-Middle,Retail,15.21,677755,Hacker Group,Social Engineering,Firewall,52.0,2.2441737796106264e-05,Medium (24-72h)
UK,2022,Man-in-the-Middle,IT,66.25,303838,Nation-state,Zero-day,AI-based Detection,56.0,0.00021804382598621634,Medium (24-72h)
India,2016,Ransomware,Banking,93.74,339815,Insider,Weak Passwords,Firewall,58.0,0.00027585598045995615,Medium (24-72h)
Russia,2020,Ransomware,Banking,13.66,820140,Insider,Social Engineering,VPN,63.0,1.6655692930475286e-05,Medium (24-72h)
Russia,2015,Ransomware,IT,49.3,879875,Insider,Zero-day,Encryption,61.0,5.603068617701378e-05,Medium (24-72h)
Brazil,2022,Man-in-the-Middle,Healthcare,40.94,987320,Unknown,Zero-day,AI-based Detection,44.0,4.146578616861808e-05,Medium (24-72h)
Japan,2023,SQL Injection,Government,13.51,772948,Unknown,Zero-day,VPN,43.0,1.747853671915834e-05,Medium (24-72h)
Brazil,2015,Phishing,Healthcare,84.83,794914,Insider,Social Engineering,Firewall,34.0,0.0001067159466307047,Medium (24-72h)
Brazil,2019,DDoS,Telecommunications,36.98,198563,Hacker Group,Social Engineering,Firewall,24.0,0.00018623812089865684,Fast (<24h)
Germany,2022,DDoS,Retail,21.45,32346,Nation-state,Unpatched Software,AI-based Detection,38.0,0.0006631422741606381,Medium (24-72h)
China,2015,Phishing,Banking,18.39,541829,Nation-state,Zero-day,Antivirus,33.0,3.394059749478157e-05,Medium (24-72h)
Russia,2024,Phishing,Telecommunications,21.22,446028,Hacker Group,Weak Passwords,VPN,37.0,4.75754885343521e-05,Medium (24-72h)
France,2022,Malware,Education,13.06,759625,Insider,Social Engineering,Encryption,14.0,1.7192693763370083e-05,Fast (<24h)
Brazil,2017,Phishing,Retail,3.18,520654,Nation-state,Social Engineering,VPN,53.0,6.1077030042984405e-06,Medium (24-72h)
USA,2023,DDoS,IT,99.64,248383,Insider,Social Engineering,Firewall,55.0,0.00040115466839518005,Medium (24-72h)
China,2017,Man-in-the-Middle,Banking,62.39,855974,Unknown,Social Engineering,VPN,44.0,7.288772789827728e-05,Medium (24-72h)
China,2020,Malware,Government,84.23,50842,Insider,Zero-day,AI-based Detection,59.0,0.001656701152590378,Medium (24-72h)
Germany,2015,Man-in-the-Middle,Education,81.5,697275,Nation-state,Weak Passwords,Encryption,59.0,0.00011688358251765802,Medium (24-72h)
Germany,2022,Man-in-the-Middle,Telecommunications,0.54,419912,Nation-state,Zero-day,AI-based Detection,40.0,1.2859837299243652e-06,Medium (24-72h)
Japan,2023,Man-in-the-Middle,Banking,65.8,193620,Nation-state,Zero-day,VPN,67.0,0.0003398409255242227,Medium (24-72h)
China,2024,SQL Injection,Banking,58.32,777684,Unknown,Zero-day,VPN,31.0,7.499189902325366e-05,Medium (24-72h)
UK,2018,Malware,Healthcare,27.61,375245,Hacker Group,Social Engineering,Firewall,20.0,7.357859531772575e-05,Fast (<24h)
China,2023,Man-in-the-Middle,IT,22.96,656090,Insider,Unpatched Software,Encryption,27.0,3.499519882942889e-05,Medium (24-72h)
Australia,2016,Man-in-the-Middle,IT,80.27,653967,Unknown,Unpatched Software,Encryption,21.0,0.00012274319652214865,Fast (<24h)
India,2022,SQL Injection,Education,0.83,977791,Unknown,Weak Passwords,Antivirus,15.0,8.488521575674147e-07,Fast (<24h)
UK,2023,DDoS,Telecommunications,81.91,397687,Hacker Group,Social Engineering,VPN,65.0,0.0002059659983856651,Medium (24-72h)
France,2017,Malware,Banking,40.87,719537,Nation-state,Zero-day,AI-based Detection,23.0,5.680041471112673e-05,Fast (<24h)
Brazil,2017,DDoS,Telecommunications,34.79,724790,Hacker Group,Unpatched Software,Firewall,64.0,4.8000110376798794e-05,Medium (24-72h)
France,2016,Phishing,IT,33.33,51723,Hacker Group,Weak Passwords,Encryption,23.0,0.0006443941766718867,Fast (<24h)
India,2023,Ransomware,Healthcare,18.26,312340,Nation-state,Zero-day,VPN,35.0,5.846193250944484e-05,Medium (24-72h)
India,2016,Man-in-the-Middle,Banking,15.28,995025,Unknown,Weak Passwords,AI-based Detection,52.0,1.535639808045024e-05,Medium (24-72h)
France,2024,SQL Injection,Telecommunications,48.77,336356,Hacker Group,Unpatched Software,Encryption,2.0,0.0001449951836744402,Fast (<24h)
France,2017,Ransomware,Retail,48.93,886212,Unknown,Weak Passwords,Encryption,67.0,5.521252251154351e-05,Medium (24-72h)
Japan,2016,Ransomware,Healthcare,37.23,209358,Nation-state,Social Engineering,Firewall,25.0,0.0001778293640558278,Medium (24-72h)
Russia,2022,DDoS,Education,69.24,495616,Nation-state,Unpatched Software,Antivirus,38.0,0.00013970493285123966,Medium (24-72h)
China,2021,SQL Injection,Government,55.55,224311,Insider,Zero-day,Firewall,57.0,0.0002476472397697839,Medium (24-72h)
Japan,2022,DDoS,IT,51.95,65516,Insider,Weak Passwords,Firewall,37.0,0.0007929360766835582,Medium (24-72h)
Germany,2024,Ransomware,Government,40.36,301972,Unknown,Weak Passwords,VPN,33.0,0.00013365477593949108,Medium (24-72h)
Germany,2015,Phishing,Telecommunications,47.04,124250,Insider,Zero-day,AI-based Detection,64.0,0.0003785915492957746,Medium (24-72h)
USA,2018,Man-in-the-Middle,Healthcare,22.61,733934,Nation-state,Zero-day,Firewall,31.0,3.0806584788277965e-05,Medium (24-72h)
Brazil,2022,Malware,IT,19.26,377446,Unknown,Zero-day,AI-based Detection,12.0,5.102716680001908e-05,Fast (<24h)
China,2021,SQL Injection,IT,98.57,430792,Insider,Weak Passwords,Antivirus,9.0,0.00022881111998365798,Fast (<24h)
UK,2015,Malware,IT,96.79,825881,Unknown,Zero-day,AI-based Detection,35.0,0.00011719606093371807,Medium (24-72h)
USA,2020,Malware,Telecommunications,27.16,858207,Nation-state,Unpatched Software,AI-based Detection,42.0,3.1647376448805475e-05,Medium (24-72h)
Germany,2021,Ransomware,Healthcare,16.64,912847,Unknown,Weak Passwords,Antivirus,27.0,1.822868454406927e-05,Medium (24-72h)
UK,2018,Malware,Banking,41.34,82287,Unknown,Unpatched Software,Encryption,61.0,0.0005023879835210908,Medium (24-72h)
USA,2020,Man-in-the-Middle,Education,44.85,527938,Nation-state,Zero-day,Encryption,1.0,8.495315737832852e-05,Fast (<24h)
UK,2022,DDoS,Telecommunications,50.9,645154,Insider,Weak Passwords,AI-based Detection,16.0,7.889589152357421e-05,Fast (<24h)
India,2018,Ransomware,Retail,26.01,732636,Hacker Group,Zero-day,VPN,3.0,3.5501940936563316e-05,Fast (<24h)
Russia,2015,DDoS,Retail,69.61,26321,Nation-state,Zero-day,Encryption,11.0,0.002644656358041108,Fast (<24h)
Germany,2023,Ransomware,Banking,52.88,982507,Unknown,Unpatched Software,Encryption,39.0,5.3821499490588876e-05,Medium (24-72h)
Russia,2019,Malware,Retail,11.57,367712,Nation-state,Weak Passwords,Firewall,13.0,3.146484205030024e-05,Fast (<24h)
Russia,2015,DDoS,Telecommunications,83.28,236346,Insider,Unpatched Software,AI-based Detection,55.0,0.00035236475337005913,Medium (24-72h)
Australia,2018,SQL Injection,Retail,51.46,287089,Nation-state,Weak Passwords,Encryption,8.0,0.00017924755041119652,Fast (<24h)
Brazil,2024,Malware,Healthcare,50.71,964191,Unknown,Weak Passwords,VPN,36.0,5.2593313980321326e-05,Medium (24-72h)
China,2016,SQL Injection,Healthcare,52.68,55913,Nation-state,Social Engineering,Antivirus,70.0,0.0009421780265770035,Medium (24-72h)
Japan,2015,Phishing,Government,98.29,850600,Insider,Zero-day,Encryption,17.0,0.00011555372678109571,Fast (<24h)
France,2024,Phishing,Retail,45.57,201137,Hacker Group,Zero-day,Antivirus,25.0,0.00022656199505809472,Medium (24-72h)
Germany,2017,Malware,Healthcare,1.68,859708,Nation-state,Weak Passwords,Encryption,10.0,1.9541518748226142e-06,Fast (<24h)
Russia,2016,Phishing,Government,2.74,863777,Insider,Zero-day,Antivirus,20.0,3.1721150250585514e-06,Fast (<24h)
Japan,2024,SQL Injection,Banking,67.37,521384,Unknown,Social Engineering,Antivirus,32.0,0.00012921378484955428,Medium (24-72h)
Russia,2022,SQL Injection,Government,69.09,474183,Insider,Weak Passwords,Antivirus,27.0,0.0001457032411537318,Medium (24-72h)
Brazil,2018,SQL Injection,Retail,36.63,829742,Insider,Unpatched Software,Firewall,57.0,4.414625269059539e-05,Medium (24-72h)
USA,2021,DDoS,Telecommunications,99.81,460842,Unknown,Weak Passwords,AI-based Detection,59.0,0.00021658182196935175,Medium (24-72h)
