Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Resolution Speed,Cluster,Threat Profile
Russia,2023,Malware,Telecommunications,95.0,338867,Nation-state,Unpatched Software,AI-based Detection,34.0,0.000280345976445,Medium (24-72h),1,Targeted: High Financial Impact
Japan,2018,Ransomware,Government,44.98,951249,Hacker Group,Weak Passwords,VPN,25.0,4.7285200825441074e-05,Medium (24-72h),2,Critical: High Impact on Both
USA,2022,Ransomware,IT,50.4,34584,Insider,Zero-day,Firewall,43.0,0.0014573213046495,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2021,Malware,Education,74.37,298836,Hacker Group,Social Engineering,Encryption,29.0,0.0002488655985222,Medium (24-72h),1,Targeted: High Financial Impact
Brazil,2018,Malware,Retail,27.82,526161,Unknown,Unpatched Software,AI-based Detection,12.0,5.287355011108767e-05,Fast (<24h),4,Standard: Moderate Impact
Brazil,2020,Phishing,Government,76.95,476308,Insider,Social Engineering,VPN,44.0,0.0001615551281943,Medium (24-72h),5,Critical: High Impact on Both
China,2017,SQL Injection,Banking,29.39,206897,Unknown,Zero-day,Encryption,18.0,0.0001420513588887,Fast (<24h),4,Standard: Moderate Impact
Japan,2022,Malware,IT,1.92,2653,Nation-state,Unpatched Software,AI-based Detection,56.0,0.0007237090086694,Medium (24-72h),3,Standard: Moderate Impact
UK,2024,Ransomware,Healthcare,90.37,540353,Hacker Group,Unpatched Software,Antivirus,68.0,0.0001672425247939,Medium (24-72h),5,Critical: High Impact on Both
Germany,2015,Phishing,Retail,84.77,779922,Nation-state,Zero-day,Antivirus,50.0,0.0001086903562151,Medium (24-72h),5,Critical: High Impact on Both
Germany,2016,Ransomware,Education,24.4,908906,Hacker Group,Weak Passwords,AI-based Detection,46.0,2.6845460366638573e-05,Medium (24-72h),0,Widespread: High User Impact
Russia,2021,Man-in-the-Middle,Healthcare,28.34,446741,Nation-state,Weak Passwords,Firewall,20.0,6.34372041070777e-05,Fast (<24h),4,Standard: Moderate Impact
India,2023,Phishing,Education,9.95,317488,Insider,Social Engineering,VPN,46.0,3.133976717230257e-05,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2024,Phishing,IT,72.33,182613,Unknown,Unpatched Software,AI-based Detection,26.0,0.0003960835208884,Medium (24-72h),1,Targeted: High Financial Impact
UK,2018,Ransomware,IT,61.42,211305,Hacker Group,Zero-day,Encryption,27.0,0.0002906698847637,Medium (24-72h),1,Targeted: High Financial Impact
UK,2024,DDoS,Government,68.83,60379,Hacker Group,Unpatched Software,Firewall,32.0,0.0011399658821775,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2020,Ransomware,Healthcare,11.11,785179,Unknown,Weak Passwords,VPN,2.0,1.4149639763671725e-05,Fast (<24h),4,Standard: Moderate Impact
Russia,2022,SQL Injection,Telecommunications,1.99,652682,Insider,Social Engineering,Encryption,46.0,3.04895799179386e-06,Medium (24-72h),0,Widespread: High User Impact
Brazil,2022,SQL Injection,Banking,5.85,52649,Nation-state,Unpatched Software,Encryption,57.0,0.0001111132215236,Medium (24-72h),3,Standard: Moderate Impact
Germany,2024,Man-in-the-Middle,Government,45.75,865871,Insider,Weak Passwords,Antivirus,58.0,5.283696994124991e-05,Medium (24-72h),5,Critical: High Impact on Both
Russia,2022,DDoS,Retail,93.71,474552,Nation-state,Zero-day,Encryption,20.0,0.0001974704563461,Fast (<24h),1,Targeted: High Financial Impact
France,2024,SQL Injection,Healthcare,5.7,400840,Insider,Social Engineering,VPN,57.0,1.4220137710807306e-05,Medium (24-72h),3,Standard: Moderate Impact
USA,2020,Phishing,Education,60.57,275819,Nation-state,Social Engineering,Firewall,69.0,0.0002196005351335,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2021,DDoS,Retail,89.79,454088,Hacker Group,Social Engineering,VPN,70.0,0.0001977370025193,Medium (24-72h),5,Critical: High Impact on Both
France,2018,Phishing,Government,30.68,338619,Hacker Group,Unpatched Software,Antivirus,68.0,9.060330341770544e-05,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2018,Malware,Banking,31.56,940038,Hacker Group,Zero-day,Antivirus,24.0,3.357311087424125e-05,Fast (<24h),0,Widespread: High User Impact
USA,2017,DDoS,Government,98.73,17805,Nation-state,Weak Passwords,Antivirus,31.0,0.0055450716090985,Medium (24-72h),1,Targeted: High Financial Impact
Japan,2020,SQL Injection,Telecommunications,92.13,244933,Nation-state,Social Engineering,AI-based Detection,37.0,0.0003761436801084,Medium (24-72h),1,Targeted: High Financial Impact
USA,2016,Phishing,Retail,71.14,198602,Unknown,Zero-day,Firewall,18.0,0.0003582038448756,Fast (<24h),1,Targeted: High Financial Impact
India,2023,DDoS,Retail,73.85,504861,Unknown,Weak Passwords,Antivirus,65.0,0.0001462778863885,Medium (24-72h),5,Critical: High Impact on Both
UK,2016,Malware,Telecommunications,91.24,695618,Nation-state,Social Engineering,Antivirus,14.0,0.0001311639434287,Fast (<24h),2,Critical: High Impact on Both
China,2022,Man-in-the-Middle,Healthcare,5.4,270732,Unknown,Weak Passwords,Firewall,31.0,1.994592438278445e-05,Medium (24-72h),4,Standard: Moderate Impact
UK,2015,Phishing,Retail,77.58,270326,Nation-state,Social Engineering,Firewall,24.0,0.000286986823317,Fast (<24h),1,Targeted: High Financial Impact
Russia,2017,Man-in-the-Middle,Government,80.95,827534,Hacker Group,Unpatched Software,Firewall,29.0,9.782075419257698e-05,Medium (24-72h),2,Critical: High Impact on Both
Germany,2020,Man-in-the-Middle,Retail,46.07,32499,Insider,Zero-day,Firewall,14.0,0.0014175820794485,Fast (<24h),4,Standard: Moderate Impact
Russia,2016,Malware,Telecommunications,52.2,279065,Hacker Group,Unpatched Software,VPN,62.0,0.000187053195492,Medium (24-72h),3,Standard: Moderate Impact
Germany,2017,Ransomware,Telecommunications,49.56,119598,Insider,Unpatched Software,Encryption,43.0,0.0004143882004715,Medium (24-72h),3,Standard: Moderate Impact
Germany,2016,SQL Injection,Education,61.78,387500,Nation-state,Weak Passwords,AI-based Detection,30.0,0.0001594322580645,Medium (24-72h),1,Targeted: High Financial Impact
Brazil,2018,Phishing,Education,66.07,656031,Nation-state,Social Engineering,Encryption,36.0,0.0001007117041725,Medium (24-72h),2,Critical: High Impact on Both
China,2022,Ransomware,Education,85.72,637259,Unknown,Zero-day,VPN,57.0,0.0001345135965125,Medium (24-72h),5,Critical: High Impact on Both
Russia,2023,SQL Injection,Education,0.98,623106,Nation-state,Weak Passwords,Firewall,43.0,1.5727661104210195e-06,Medium (24-72h),0,Widespread: High User Impact
India,2015,DDoS,Education,21.74,513867,Unknown,Zero-day,Firewall,34.0,4.2306666900190126e-05,Medium (24-72h),0,Widespread: High User Impact
Australia,2023,Man-in-the-Middle,Healthcare,7.54,710871,Insider,Zero-day,Firewall,55.0,1.0606706420714867e-05,Medium (24-72h),0,Widespread: High User Impact
India,2020,Malware,Healthcare,7.08,875225,Unknown,Zero-day,Antivirus,31.0,8.089348453254877e-06,Medium (24-72h),0,Widespread: High User Impact
Germany,2024,Malware,Retail,71.2,989625,Unknown,Social Engineering,Firewall,53.0,7.194644436023747e-05,Medium (24-72h),5,Critical: High Impact on Both
China,2016,DDoS,Education,89.08,210433,Insider,Weak Passwords,AI-based Detection,63.0,0.0004233176355419,Medium (24-72h),1,Targeted: High Financial Impact
USA,2018,Malware,IT,26.31,709153,Hacker Group,Weak Passwords,VPN,45.0,3.710059747332381e-05,Medium (24-72h),0,Widespread: High User Impact
France,2020,Ransomware,IT,21.11,568832,Nation-state,Social Engineering,Firewall,12.0,3.711113298829883e-05,Fast (<24h),4,Standard: Moderate Impact
China,2022,Phishing,Retail,51.76,355545,Unknown,Weak Passwords,Encryption,68.0,0.0001455793218861,Medium (24-72h),3,Standard: Moderate Impact
Germany,2019,Phishing,Education,90.91,112635,Insider,Weak Passwords,Firewall,55.0,0.0008071203444755,Medium (24-72h),1,Targeted: High Financial Impact
Brazil,2015,SQL Injection,Banking,89.39,988268,Unknown,Zero-day,VPN,44.0,9.045117316355484e-05,Medium (24-72h),5,Critical: High Impact on Both
India,2021,Malware,Education,65.87,357399,Nation-state,Zero-day,Encryption,2.0,0.0001843038173022,Fast (<24h),1,Targeted: High Financial Impact
Japan,2018,Man-in-the-Middle,Government,78.16,512258,Hacker Group,Weak Passwords,Encryption,32.0,0.0001525793643047,Medium (24-72h),1,Targeted: High Financial Impact
Australia,2024,Ransomware,Healthcare,24.21,180760,Nation-state,Weak Passwords,Encryption,34.0,0.0001339344987829,Medium (24-72h),4,Standard: Moderate Impact
USA,2023,Man-in-the-Middle,Retail,81.16,691638,Unknown,Zero-day,Antivirus,17.0,0.0001173446224759,Fast (<24h),2,Critical: High Impact on Both
Russia,2019,Ransomware,IT,80.18,123757,Insider,Social Engineering,Encryption,54.0,0.0006478825440177,Medium (24-72h),1,Targeted: High Financial Impact
Germany,2018,DDoS,Telecommunications,70.0,702285,Hacker Group,Zero-day,AI-based Detection,46.0,9.96746335177314e-05,Medium (24-72h),5,Critical: High Impact on Both
Australia,2022,DDoS,Education,9.73,907708,Unknown,Unpatched Software,AI-based Detection,44.0,1.071930620860453e-05,Medium (24-72h),0,Widespread: High User Impact
Australia,2015,DDoS,Healthcare,4.49,713160,Hacker Group,Unpatched Software,Encryption,26.0,6.29592237366089e-06,Medium (24-72h),0,Widespread: High User Impact
USA,2022,Malware,Banking,46.75,239200,Nation-state,Social Engineering,Encryption,8.0,0.0001954431438127,Fast (<24h),4,Standard: Moderate Impact
China,2016,DDoS,Healthcare,63.15,500521,Nation-state,Weak Passwords,Encryption,27.0,0.0001261685323892,Medium (24-72h),2,Critical: High Impact on Both
India,2015,Phishing,IT,25.47,741259,Hacker Group,Unpatched Software,Antivirus,18.0,3.436045970436784e-05,Fast (<24h),0,Widespread: High User Impact
Japan,2021,SQL Injection,Education,3.97,604843,Insider,Unpatched Software,AI-based Detection,40.0,6.563686774915144e-06,Medium (24-72h),0,Widespread: High User Impact
UK,2023,SQL Injection,Education,19.17,697610,Insider,Weak Passwords,Encryption,18.0,2.747953727727527e-05,Fast (<24h),0,Widespread: High User Impact
Germany,2022,SQL Injection,IT,58.35,730850,Hacker Group,Weak Passwords,AI-based Detection,27.0,7.983854416090853e-05,Medium (24-72h),2,Critical: High Impact on Both
Australia,2018,SQL Injection,IT,65.08,417807,Insider,Social Engineering,Firewall,46.0,0.000155765700431,Medium (24-72h),5,Critical: High Impact on Both
India,2020,Malware,Healthcare,3.74,58205,Hacker Group,Unpatched Software,Encryption,63.0,6.425564814019414e-05,Medium (24-72h),3,Standard: Moderate Impact
India,2016,SQL Injection,Healthcare,33.11,830670,Unknown,Social Engineering,Antivirus,11.0,3.985939061239722e-05,Fast (<24h),2,Critical: High Impact on Both
Brazil,2024,Ransomware,Government,57.7,691990,Insider,Weak Passwords,Antivirus,41.0,8.338270784259889e-05,Medium (24-72h),5,Critical: High Impact on Both
USA,2015,Ransomware,Retail,74.68,498089,Insider,Weak Passwords,Encryption,18.0,0.0001499330440945,Fast (<24h),2,Critical: High Impact on Both
China,2015,Ransomware,IT,86.82,748040,Insider,Weak Passwords,Firewall,18.0,0.0001160633121223,Fast (<24h),2,Critical: High Impact on Both
Brazil,2018,Ransomware,Healthcare,4.51,909979,Nation-state,Social Engineering,VPN,65.0,4.95615832892847e-06,Medium (24-72h),0,Widespread: High User Impact
Australia,2019,Man-in-the-Middle,Banking,27.0,286038,Nation-state,Social Engineering,Encryption,43.0,9.43930526713234e-05,Medium (24-72h),3,Standard: Moderate Impact
Russia,2021,SQL Injection,Retail,82.88,479586,Insider,Zero-day,AI-based Detection,8.0,0.0001728157202253,Fast (<24h),2,Critical: High Impact on Both
Australia,2020,Phishing,Banking,42.03,454763,Hacker Group,Social Engineering,Firewall,14.0,9.24217669423414e-05,Fast (<24h),4,Standard: Moderate Impact
UK,2019,Phishing,Telecommunications,33.85,60183,Nation-state,Unpatched Software,AI-based Detection,17.0,0.0005624511905355,Fast (<24h),4,Standard: Moderate Impact
Russia,2018,Phishing,Education,94.6,596801,Nation-state,Weak Passwords,Antivirus,70.0,0.0001585117987402,Medium (24-72h),5,Critical: High Impact on Both
China,2021,Ransomware,IT,71.9,698786,Hacker Group,Zero-day,Antivirus,21.0,0.0001028927311079,Fast (<24h),2,Critical: High Impact on Both
Japan,2021,DDoS,Telecommunications,94.23,441749,Nation-state,Unpatched Software,AI-based Detection,55.0,0.0002133111789726,Medium (24-72h),5,Critical: High Impact on Both
China,2018,SQL Injection,Healthcare,76.4,966102,Hacker Group,Social Engineering,Firewall,1.0,7.908067678154068e-05,Fast (<24h),2,Critical: High Impact on Both
India,2017,Malware,Healthcare,66.29,430200,Unknown,Zero-day,Antivirus,48.0,0.0001540911204091,Medium (24-72h),5,Critical: High Impact on Both
UK,2023,Ransomware,Banking,49.89,638668,Nation-state,Social Engineering,Encryption,47.0,7.811570330750876e-05,Medium (24-72h),5,Critical: High Impact on Both
UK,2019,DDoS,Healthcare,81.91,127817,Nation-state,Weak Passwords,Antivirus,66.0,0.0006408380731827,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2017,Man-in-the-Middle,Government,14.54,491794,Nation-state,Zero-day,Encryption,4.0,2.956522446390155e-05,Fast (<24h),4,Standard: Moderate Impact
Germany,2024,Ransomware,IT,33.44,737958,Hacker Group,Social Engineering,Encryption,54.0,4.531423197526146e-05,Medium (24-72h),0,Widespread: High User Impact
Australia,2017,DDoS,Education,31.74,724207,Hacker Group,Weak Passwords,Firewall,54.0,4.3827248286746745e-05,Medium (24-72h),0,Widespread: High User Impact
Germany,2018,SQL Injection,Healthcare,78.11,451780,Hacker Group,Unpatched Software,VPN,28.0,0.0001728938864048,Medium (24-72h),1,Targeted: High Financial Impact
India,2016,Man-in-the-Middle,Healthcare,8.25,875227,Unknown,Zero-day,AI-based Detection,20.0,9.426126022163394e-06,Fast (<24h),0,Widespread: High User Impact
Brazil,2018,Malware,Banking,17.52,334945,Nation-state,Weak Passwords,Antivirus,33.0,5.230709519473346e-05,Medium (24-72h),4,Standard: Moderate Impact
Australia,2023,DDoS,IT,81.89,525978,Unknown,Weak Passwords,Antivirus,12.0,0.000155690922434,Fast (<24h),2,Critical: High Impact on Both
UK,2016,Phishing,Retail,37.29,761252,Insider,Weak Passwords,VPN,57.0,4.898509297840925e-05,Medium (24-72h),0,Widespread: High User Impact
China,2017,Phishing,Government,38.87,168075,Insider,Social Engineering,AI-based Detection,52.0,0.0002312658039565,Medium (24-72h),3,Standard: Moderate Impact
Japan,2015,Ransomware,Banking,6.57,443408,Hacker Group,Weak Passwords,Encryption,71.0,1.4817053368455238e-05,Medium (24-72h),3,Standard: Moderate Impact
UK,2018,DDoS,IT,17.99,60917,Unknown,Zero-day,VPN,1.0,0.0002953198614508,Fast (<24h),4,Standard: Moderate Impact
USA,2017,Man-in-the-Middle,Banking,59.54,839892,Nation-state,Weak Passwords,Encryption,20.0,7.089006681811472e-05,Fast (<24h),2,Critical: High Impact on Both
Brazil,2021,Ransomware,Government,72.14,673933,Unknown,Zero-day,AI-based Detection,22.0,0.0001070432817505,Fast (<24h),2,Critical: High Impact on Both
USA,2021,Ransomware,Education,84.64,534283,Insider,Social Engineering,VPN,49.0,0.0001584179170963,Medium (24-72h),5,Critical: High Impact on Both
UK,2022,DDoS,Education,32.2,49715,Insider,Unpatched Software,Encryption,72.0,0.0006476918435079,Medium (24-72h),3,Standard: Moderate Impact
China,2022,SQL Injection,Banking,1.16,297461,Hacker Group,Zero-day,Firewall,15.0,3.899670881224765e-06,Fast (<24h),4,Standard: Moderate Impact
Russia,2021,SQL Injection,Healthcare,48.71,861410,Unknown,Social Engineering,VPN,7.0,5.654682439256568e-05,Fast (<24h),2,Critical: High Impact on Both
Germany,2016,DDoS,Telecommunications,14.28,547178,Insider,Social Engineering,Firewall,45.0,2.609754047129088e-05,Medium (24-72h),0,Widespread: High User Impact
Japan,2020,Ransomware,Banking,37.38,273660,Insider,Weak Passwords,Firewall,6.0,0.0001365928524446,Fast (<24h),4,Standard: Moderate Impact
Brazil,2023,Phishing,IT,23.01,195113,Unknown,Unpatched Software,Encryption,4.0,0.0001179316601149,Fast (<24h),4,Standard: Moderate Impact
China,2018,Man-in-the-Middle,Banking,9.77,881294,Insider,Unpatched Software,AI-based Detection,3.0,1.1085971310368616e-05,Fast (<24h),0,Widespread: High User Impact
USA,2024,Phishing,Government,58.64,146937,Hacker Group,Social Engineering,Firewall,10.0,0.0003990826000258,Fast (<24h),1,Targeted: High Financial Impact
Russia,2016,Phishing,Healthcare,11.29,72191,Unknown,Weak Passwords,Antivirus,3.0,0.0001563906858195,Fast (<24h),4,Standard: Moderate Impact
Australia,2022,Man-in-the-Middle,Government,90.65,898589,Hacker Group,Zero-day,AI-based Detection,58.0,0.0001008803802405,Medium (24-72h),5,Critical: High Impact on Both
Japan,2024,Malware,Telecommunications,30.66,430306,Nation-state,Weak Passwords,VPN,67.0,7.125162093951745e-05,Medium (24-72h),3,Standard: Moderate Impact
Australia,2022,DDoS,IT,27.02,835814,Insider,Weak Passwords,Encryption,40.0,3.2327766704075307e-05,Medium (24-72h),0,Widespread: High User Impact
Russia,2015,SQL Injection,IT,56.07,837322,Insider,Zero-day,AI-based Detection,25.0,6.69634859707496e-05,Medium (24-72h),2,Critical: High Impact on Both
Russia,2019,SQL Injection,Telecommunications,10.88,299403,Unknown,Unpatched Software,Antivirus,23.0,3.633898123933294e-05,Fast (<24h),4,Standard: Moderate Impact
USA,2024,Man-in-the-Middle,Government,96.13,482492,Unknown,Social Engineering,Encryption,17.0,0.0001992364640242,Fast (<24h),1,Targeted: High Financial Impact
China,2022,DDoS,IT,88.61,777010,Hacker Group,Weak Passwords,VPN,34.0,0.0001140397163485,Medium (24-72h),2,Critical: High Impact on Both
Germany,2021,DDoS,IT,73.5,806210,Unknown,Weak Passwords,Antivirus,5.0,9.116731372719268e-05,Fast (<24h),2,Critical: High Impact on Both
China,2024,Malware,Government,1.17,281616,Nation-state,Unpatched Software,Encryption,6.0,4.1545934890063066e-06,Fast (<24h),4,Standard: Moderate Impact
India,2023,Ransomware,Banking,42.02,827952,Hacker Group,Unpatched Software,AI-based Detection,21.0,5.075173440006184e-05,Fast (<24h),2,Critical: High Impact on Both
USA,2020,Malware,Retail,59.15,179586,Hacker Group,Social Engineering,VPN,27.0,0.0003293686590268,Medium (24-72h),1,Targeted: High Financial Impact
UK,2022,Phishing,Retail,26.63,725905,Hacker Group,Zero-day,VPN,54.0,3.668524118169733e-05,Medium (24-72h),0,Widespread: High User Impact
USA,2016,DDoS,Healthcare,30.49,723411,Hacker Group,Weak Passwords,AI-based Detection,40.0,4.21475482125652e-05,Medium (24-72h),0,Widespread: High User Impact
India,2024,Malware,Banking,14.01,141437,Nation-state,Weak Passwords,Firewall,10.0,9.905470280054015e-05,Fast (<24h),4,Standard: Moderate Impact
USA,2019,DDoS,Government,49.88,441744,Unknown,Weak Passwords,Firewall,40.0,0.0001129160780904,Medium (24-72h),3,Standard: Moderate Impact
Japan,2016,Malware,Telecommunications,4.84,936738,Insider,Weak Passwords,Antivirus,8.0,5.166866295591724e-06,Fast (<24h),0,Widespread: High User Impact
USA,2024,Malware,Education,75.51,822636,Insider,Social Engineering,Antivirus,63.0,9.179029364141614e-05,Medium (24-72h),5,Critical: High Impact on Both
Australia,2018,Malware,Banking,68.32,843891,Unknown,Weak Passwords,Antivirus,31.0,8.095832281657228e-05,Medium (24-72h),2,Critical: High Impact on Both
Russia,2020,DDoS,Healthcare,6.37,82576,Nation-state,Weak Passwords,VPN,40.0,7.714105793450882e-05,Medium (24-72h),3,Standard: Moderate Impact
France,2024,Ransomware,Banking,97.53,759522,Unknown,Weak Passwords,VPN,39.0,0.0001284097103178,Medium (24-72h),5,Critical: High Impact on Both
UK,2024,Ransomware,Banking,12.22,860343,Hacker Group,Weak Passwords,Antivirus,42.0,1.4203637386484227e-05,Medium (24-72h),0,Widespread: High User Impact
Australia,2023,Malware,Government,55.72,14483,Nation-state,Weak Passwords,Firewall,36.0,0.0038472692121797,Medium (24-72h),1,Targeted: High Financial Impact
Japan,2023,Malware,Telecommunications,67.77,871255,Hacker Group,Social Engineering,AI-based Detection,24.0,7.778434557047017e-05,Fast (<24h),2,Critical: High Impact on Both
India,2019,Man-in-the-Middle,Government,98.86,48647,Unknown,Zero-day,Encryption,48.0,0.0020321910909203,Medium (24-72h),1,Targeted: High Financial Impact
Australia,2024,Phishing,Education,74.75,109907,Insider,Social Engineering,VPN,5.0,0.0006801204654844,Fast (<24h),1,Targeted: High Financial Impact
Brazil,2022,Man-in-the-Middle,Retail,89.11,749386,Unknown,Unpatched Software,Firewall,16.0,0.0001189106815446,Fast (<24h),2,Critical: High Impact on Both
Russia,2018,Malware,Telecommunications,89.79,900723,Insider,Zero-day,Firewall,32.0,9.968658510996168e-05,Medium (24-72h),2,Critical: High Impact on Both
France,2024,Phishing,IT,49.75,943151,Nation-state,Zero-day,VPN,66.0,5.274871150006733e-05,Medium (24-72h),5,Critical: High Impact on Both
USA,2019,Malware,Education,1.05,93580,Nation-state,Unpatched Software,VPN,21.0,1.122034622782646e-05,Fast (<24h),4,Standard: Moderate Impact
China,2019,Malware,Retail,26.66,303469,Insider,Social Engineering,VPN,60.0,8.78508183702454e-05,Medium (24-72h),3,Standard: Moderate Impact
USA,2024,Malware,Telecommunications,0.71,28436,Unknown,Unpatched Software,Encryption,66.0,2.4968349978899985e-05,Medium (24-72h),3,Standard: Moderate Impact
France,2015,Phishing,Healthcare,41.92,383484,Unknown,Unpatched Software,VPN,52.0,0.0001093135567585,Medium (24-72h),3,Standard: Moderate Impact
Germany,2017,DDoS,Telecommunications,40.05,27446,Insider,Social Engineering,AI-based Detection,13.0,0.0014592290315528,Fast (<24h),4,Standard: Moderate Impact
Japan,2020,Phishing,Healthcare,73.13,39276,Nation-state,Unpatched Software,Firewall,29.0,0.0018619513188715,Medium (24-72h),1,Targeted: High Financial Impact
Brazil,2024,SQL Injection,IT,33.94,88304,Nation-state,Zero-day,Encryption,41.0,0.0003843540496466,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2019,Malware,Government,4.95,281096,Nation-state,Zero-day,AI-based Detection,2.0,1.7609642257449413e-05,Fast (<24h),4,Standard: Moderate Impact
Australia,2018,SQL Injection,Banking,50.23,793612,Nation-state,Zero-day,Firewall,12.0,6.329289375664682e-05,Fast (<24h),2,Critical: High Impact on Both
UK,2016,Malware,Banking,49.92,848188,Nation-state,Unpatched Software,VPN,12.0,5.885487651322584e-05,Fast (<24h),2,Critical: High Impact on Both
India,2016,Man-in-the-Middle,IT,70.24,374767,Unknown,Unpatched Software,Antivirus,67.0,0.0001874231188978,Medium (24-72h),5,Critical: High Impact on Both
France,2019,DDoS,Telecommunications,85.65,835349,Nation-state,Unpatched Software,VPN,8.0,0.000102531995609,Fast (<24h),2,Critical: High Impact on Both
Japan,2020,SQL Injection,Banking,64.25,877560,Nation-state,Weak Passwords,Encryption,61.0,7.321436710880167e-05,Medium (24-72h),5,Critical: High Impact on Both
Germany,2016,Man-in-the-Middle,Government,58.93,249279,Unknown,Weak Passwords,VPN,58.0,0.0002364017827414,Medium (24-72h),3,Standard: Moderate Impact
Japan,2017,Ransomware,Government,9.24,126143,Unknown,Weak Passwords,Antivirus,35.0,7.325020016964874e-05,Medium (24-72h),4,Standard: Moderate Impact
France,2021,Malware,Government,50.84,7910,Unknown,Unpatched Software,Firewall,19.0,0.0064273072060682,Fast (<24h),1,Targeted: High Financial Impact
Brazil,2020,SQL Injection,Education,85.12,732802,Nation-state,Weak Passwords,Antivirus,62.0,0.000116156888218,Medium (24-72h),5,Critical: High Impact on Both
USA,2019,DDoS,Telecommunications,12.13,426349,Hacker Group,Unpatched Software,Encryption,44.0,2.845087006185074e-05,Medium (24-72h),3,Standard: Moderate Impact
China,2019,Man-in-the-Middle,Telecommunications,6.24,739538,Nation-state,Zero-day,Encryption,5.0,8.437700293967315e-06,Fast (<24h),4,Standard: Moderate Impact
UK,2016,SQL Injection,Retail,17.98,251689,Nation-state,Social Engineering,Antivirus,1.0,7.143736913412983e-05,Fast (<24h),4,Standard: Moderate Impact
Germany,2015,Malware,Education,75.2,461291,Insider,Social Engineering,AI-based Detection,5.0,0.0001630207396198,Fast (<24h),2,Critical: High Impact on Both
UK,2021,Man-in-the-Middle,Banking,71.88,757595,Insider,Weak Passwords,VPN,40.0,9.487919006857223e-05,Medium (24-72h),5,Critical: High Impact on Both
Japan,2024,Man-in-the-Middle,Retail,12.62,970866,Hacker Group,Weak Passwords,Firewall,13.0,1.299870424960808e-05,Fast (<24h),0,Widespread: High User Impact
Brazil,2021,Malware,Government,79.56,334916,Nation-state,Weak Passwords,Firewall,35.0,0.0002375521026167,Medium (24-72h),1,Targeted: High Financial Impact
UK,2019,Man-in-the-Middle,IT,35.37,384185,Insider,Weak Passwords,Firewall,71.0,9.206502075822844e-05,Medium (24-72h),3,Standard: Moderate Impact
Australia,2016,Phishing,Education,98.72,6670,Nation-state,Social Engineering,VPN,24.0,0.0148005997001499,Fast (<24h),1,Targeted: High Financial Impact
France,2016,Man-in-the-Middle,IT,62.08,801177,Nation-state,Social Engineering,Encryption,11.0,7.748599872437675e-05,Fast (<24h),2,Critical: High Impact on Both
Russia,2016,Ransomware,Banking,28.79,183711,Insider,Zero-day,Encryption,50.0,0.0001567135337568,Medium (24-72h),3,Standard: Moderate Impact
France,2015,Malware,Retail,83.45,573985,Insider,Weak Passwords,AI-based Detection,45.0,0.0001453870745751,Medium (24-72h),5,Critical: High Impact on Both
Japan,2018,DDoS,Healthcare,88.04,675172,Nation-state,Weak Passwords,Antivirus,43.0,0.0001303964026944,Medium (24-72h),5,Critical: High Impact on Both
Germany,2018,DDoS,Government,35.76,716770,Insider,Unpatched Software,Encryption,2.0,4.9890480907404046e-05,Fast (<24h),2,Critical: High Impact on Both
Australia,2016,DDoS,IT,43.19,825866,Unknown,Weak Passwords,Firewall,23.0,5.229661954844974e-05,Fast (<24h),2,Critical: High Impact on Both
USA,2019,Ransomware,Healthcare,92.43,206631,Unknown,Zero-day,AI-based Detection,64.0,0.0004473191341086,Medium (24-72h),1,Targeted: High Financial Impact
Germany,2016,Phishing,Banking,40.18,153211,Nation-state,Weak Passwords,Encryption,43.0,0.0002622527103145,Medium (24-72h),3,Standard: Moderate Impact
Japan,2018,SQL Injection,IT,48.91,322255,Nation-state,Zero-day,AI-based Detection,41.0,0.0001517742160711,Medium (24-72h),3,Standard: Moderate Impact
China,2021,Ransomware,Telecommunications,44.84,16106,Nation-state,Weak Passwords,Firewall,29.0,0.0027840556314416,Medium (24-72h),4,Standard: Moderate Impact
USA,2021,Man-in-the-Middle,Education,51.43,640851,Unknown,Zero-day,VPN,11.0,8.025266403578991e-05,Fast (<24h),2,Critical: High Impact on Both
Japan,2022,Phishing,Banking,12.42,570853,Unknown,Unpatched Software,Encryption,4.0,2.175691465228351e-05,Fast (<24h),4,Standard: Moderate Impact
USA,2023,SQL Injection,Banking,98.91,995462,Unknown,Unpatched Software,Firewall,33.0,9.936089976312506e-05,Medium (24-72h),2,Critical: High Impact on Both
Russia,2015,Ransomware,Telecommunications,64.68,716832,Hacker Group,Social Engineering,VPN,67.0,9.02303468595152e-05,Medium (24-72h),5,Critical: High Impact on Both
USA,2015,Malware,Retail,41.34,677462,Unknown,Unpatched Software,AI-based Detection,45.0,6.1021872813530507e-05,Medium (24-72h),0,Widespread: High User Impact
France,2020,DDoS,IT,52.09,362499,Insider,Unpatched Software,Encryption,4.0,0.0001436969481295,Fast (<24h),4,Standard: Moderate Impact
